page_id,page_edits
307,990
404665,7
28319266,3
1912218,31
46646833,99
5971314,5
160760,86
17311106,0
1221258,4
2028906,118
4963935,5
7958752,7
327158,12
21147305,5
1690431,19
36730702,8
49073571,54
60657196,0
371514,0
795617,5
33834706,2
2803152,8
7060902,5
11321623,7
19458034,1
878764,7
34844037,1
3010376,1
57370233,19
9522221,0
449982,18
23491327,2
2020764,1
50586527,0
99147,7
23690058,8
36100530,1
56092214,1
13615688,2
1007980,7
2087057,12
51278738,13
147149,20
24056911,8
2121979,9
51609460,0
11622314,3
761730,0
1725789,3
47125504,5
9409662,3
550979,6
1754487,14
47418811,0
9533547,4
565372,6
30966807,2
3833662,17
64017302,7
19243599,1
1444110,9
3892342,86
64319343,7
323082,12
28046288,0
2806149,2
8039055,0
333693,16
1494022,5
41726061,3
65279334,24
342021,25
28436462,5
2888294,12
8298229,10
353017,13
28787945,1
4171605,19
66207378,0
363250,325
28972501,1
2976738,7
60778211,0
15845852,2
1243886,0
38861924,11
6886041,5
13268916,2
957474,4
35720034,7
5583082,0
90461,56
23686128,1
2056167,3
50960743,2
68027315,0
21141208,3
1678526,81
43705939,2
9017912,12
413457,15
30297979,1
3201608,20
62899476,49
16951376,5
1366503,2
40136659,14
9299,13
21751381,12
1753448,3
44609756,0
9470070,3
443375,2
30873626,2
3367235,66
63999776,14
17599510,3
1443194,1
41000669,4
58523593,9
14734303,0
27957633,33
2803355,16
58998167,3
18054317,10
1492159,1
2844350,11
59525828,13
15183124,2
1168719,21
38031901,1
6516610,1
200706,15
1193933,22
2379515,0
54502697,58
12836262,10
907734,0
35011995,3
5366890,3
66845,47
23382353,0
32170111,2
3760653,0
26705523,2
2547331,5
43670610,1
8095589,68
12767434,4
18766658,2
1383587,1
40576796,2
4361330,2
67254610,0
394987,4
22534572,3
1885619,0
38174563,6
51426776,8
11554672,3
297171,15
25853328,7
35382960,2
3096312,4
58478704,36
9932635,28
18051163,8
1301974,6
2089329,7
40179294,1
6674717,3
214155,23
18816739,6
24890860,3
33837235,8
4309578,8
12072513,10
685185,3
34057054,0
4379249,7
37413,38
477394,3
31317236,1
3533270,2
65249102,24
491278,9
31502739,6
46362450,2
50851,26
507819,5
31648712,13
3638771,0
66145747,0
18645757,13
1556060,8
42240243,2
8405119,4
15723402,9
1224014,2
38588575,2
61200077,19
15919557,6
1241903,1
38833283,10
6872683,0
230762,4
26521410,3
39091138,0
62010742,49
16342210,0
1287123,17
3144888,13
62461024,11
16623506,0
30156817,3
43677871,0
8997943,0
614929,22
33065882,17
48972730,6
11529293,1
20089715,175
33283941,3
49324627,1
159182,16
23140123,0
2211812,69
49664864,0
11836062,2
20520512,5
1794213,21
4305608,1
26232,246
20733547,1
1822436,27
45244687,20
9747013,4
469924,47
31298867,0
3529764,3
65226539,14
483149,13
31491330,13
3584401,10
8091498,0
336342,13
28734802,12
2925227,10
56816127,5
15375165,5
1025958,84
38253783,3
51785041,1
12813959,34
759549,11
34976742,6
4756790,12
74654,15
21906191,0
1997737,5
3822229,2
67481758,0
19133042,0
1616224,6
52918874,2
239246,14
25086325,8
2550922,13
5009348,1
113070,145
849886,59
36039061,3
53625723,1
13647318,16
867185,1
36290112,0
5182286,5
151532,20
22901077,3
2167878,27
49127891,19
158664,41
23129676,8
2194814,14
4227649,5
24918304,2
2254962,11
41493116,4
7142700,1
7892,54
19851852,170
1518136,4
1939626,3
46966741,12
6060241,6
304707,4
20565696,0
32628318,1
2548353,2
5046957,2
8097663,6
336811,13
21350602,1
1711737,50
2677779,9
6810098,2
67259427,0
19011093,21
827262,2
2294579,5
41572445,2
7171184,5
2009,29
19681949,6
896548,7
1931927,5
38569893,0
6041355,0
15903118,2
1078431,4
38809091,9
6133322,1
16095622,2
25072533,2
39042029,22
58673941,3
