page_id,file_id,file_name,file_number,legal_xlm_roberta-0b279,legal_xlm_roberta-0b561,legal_swiss_roberta-0b279,legal_swiss_roberta-0b561,bloomz-7b1,bloomz-1b1,legal_xlm_longformer-0b279,swiss_bert-0b110,mt0-13b,xlm_swiss_bert-0b110
188447b0-37ae-42e0-8490-a4974fda6d66,1059802,CH_BGer_011_6B-1440-2020_2020-12-16,6B_1440/2020,,, martigny montana lens, montana,,, geneve zurich, Crypto,, Austria Zürich haus
188447b0-37ae-42e0-8490-a4974fda6d66,1059802,CH_BGer_011_6B-1440-2020_2020-12-16,6B_1440/2020,,, martigny montana lens, montana,,, geneve zurich,,, Austria Zürich haus
3cd74b10-11e1-41e4-9eb9-ddc46a1bb5ad,962326,CH_BGer_005_5A-838-2019_2020-10-15,5A_838/2019, zurich, zurich, zurich winterthur, zurich winterthur,  person,,,,,
3cd74b10-11e1-41e4-9eb9-ddc46a1bb5ad,962326,CH_BGer_005_5A-838-2019_2020-10-15,5A_838/2019, zurich, zurich, zurich winterthur, zurich winterthur,  person,,,,,
3cd74b10-11e1-41e4-9eb9-ddc46a1bb5ad,962326,CH_BGer_005_5A-838-2019_2020-10-15,5A_838/2019, zurich, zurich, zurich winterthur, zurich winterthur,  person,,,,,
3cd74b10-11e1-41e4-9eb9-ddc46a1bb5ad,962326,CH_BGer_005_5A-838-2019_2020-10-15,5A_838/2019, zurich, zurich, zurich winterthur, zurich winterthur,  person,,,,,
5616b968-1755-45f4-ad22-9eadab21eba5,1064740,CH_BGer_002_2C-524-2018_2019-05-08,2C_524/2018, volkswagen, volkswagen, volkswagen, volkswagen audi,  person,,,,,
188447b0-37ae-42e0-8490-a4974fda6d66,1059802,CH_BGer_011_6B-1440-2020_2020-12-16,6B_1440/2020,,, martigny montana lens, montana,,, geneve zurich, Crypto,,
2938d832-1d35-40e9-a9eb-3cae2e6aaab0,1056573,CH_BGer_004_4A-29-2020_2020-08-27,4A_29/2020, austria plus,, zurich, zurich,,,, Halter Marazzi,, Mutter
7058cd8a-d28c-4e77-b6c0-a67350b73d95,985643,CH_BGer_001_1C-709-2020_2021-08-24,1C_709/2020,,,,,  person,  Baus,,,, Bring Bahn Firma Holding Flughafen
188447b0-37ae-42e0-8490-a4974fda6d66,1059802,CH_BGer_011_6B-1440-2020_2020-12-16,6B_1440/2020,,, martigny montana lens, montana,,, geneve zurich,,,
51e6dcb4-3098-4d3c-bd84-df3a36bbe04e,1111153,CH_BGer_009_9C-307-2020_2020-08-10,9C_307/2020, gmbh, gmbh, schweiz, schweiz,  Wut,, gmbh suisse,,,
2938d832-1d35-40e9-a9eb-3cae2e6aaab0,1056573,CH_BGer_004_4A-29-2020_2020-08-27,4A_29/2020, austria plus,, zurich, zurich,,,, Halter Marazzi,,
0518ff84-8665-4330-91ce-61f1f1cacb3d,982718,CH_BGer_009_9C-231-2021_2021-07-28,9C_231/2021,,,,,  person,,, Halter Huber,, Bauer Müller Fischer
05c57a23-aa1e-4dd9-8a5f-1574cfb5b5e2,1062907,CH_BGer_001_1B-136-2021_2021-08-09,1B_136/2021,,,,,  person,,, Vontobel Leu Bär,, Zürich Austria
49eba044-3851-4041-9f77-61e34d2b287a,1032254,CH_BGer_006_6B-660-2020_2020-09-09,6B_660/2020,,,,,  person,,, Alvarez Rochat Favre Aubert,,
49eba044-3851-4041-9f77-61e34d2b287a,1032254,CH_BGer_006_6B-660-2020_2020-09-09,6B_660/2020,,,,,  person,,, Alvarez Rochat Favre Aubert,,
3a8dbc86-61f7-4374-9fd6-c030654bf063,1063108,CH_BGer_005_5A-119-2021_2021-09-14,5A_119/2021,,,,,  person,,, Fribourg Morat Bulle Zurich,,
690465a0-347b-40ab-884e-482c31ea6adf,965103,CH_BGer_004_4A-481-2020_2021-06-10,4A_481/2020,,,, aaa,,,, Maillard Gaillard Berset Levrat,,
3a8dbc86-61f7-4374-9fd6-c030654bf063,1063108,CH_BGer_005_5A-119-2021_2021-09-14,5A_119/2021,,,,,  person,,, Fribourg Morat Bulle Zurich,,
41ce9b2d-797f-4f8e-be37-c3783049e942,1101957,CH_BGer_002_2C-282-2020_2020-05-08,2C_282/2020,,,,,  person,,, Bühler Valora Huber Halter,,
41ce9b2d-797f-4f8e-be37-c3783049e942,1101957,CH_BGer_002_2C-282-2020_2020-05-08,2C_282/2020,,,,,  person,,, Bühler Valora Huber Halter,,
2938d832-1d35-40e9-a9eb-3cae2e6aaab0,1056573,CH_BGer_004_4A-29-2020_2020-08-27,4A_29/2020, austria plus,, zurich, zurich,,,,,, Mutter
022585c7-e756-4af8-a965-b8d5c473ed98,1089601,CH_BGer_008_8C-592-2020_2021-04-15,8C_592/2020,, aa,,,  person,,, Knecht,, Bau Immobilien
8d24571f-421a-467c-8deb-bf827afea966,1061142,CH_BGer_005_5A-1007-2018_2019-06-26,5A_1007/2018,, b c e c, ehemann, c b,  person,, b c,,,
384edee6-d0a7-45b2-9a2b-c76e5c2b4546,1001681,CH_BGer_002_2C-495-2018_2019-05-07,2C_495/2018,,,,,  person,,, Steiner Mythen Schwyzer,,
912dcea3-89d7-41ee-a118-52699ef2433b,1078364,CH_BGer_005_5A-791-2019_2019-10-08,5A_791/2019,,,,,,,, Marazzi,, Ford Volkswagen Porsche
384edee6-d0a7-45b2-9a2b-c76e5c2b4546,1001681,CH_BGer_002_2C-495-2018_2019-05-07,2C_495/2018,,,,,  person,,, Steiner Mythen Schwyzer,,
705babd1-3b1f-4cfc-b46e-18fbc82396ed,1103701,CH_BGer_002_2C-1071-2018_2019-11-12,2C_1071/2018,,,,,  person  Person,,,,, Audi Volkswagen
146b950b-1e94-4142-a5ec-39b0b8693450,1097955,CH_BGer_009_9C-277-2020_2020-08-10,9C_277/2020,, general central,, general,,,,,, A B A B
146b950b-1e94-4142-a5ec-39b0b8693450,1097955,CH_BGer_009_9C-277-2020_2020-08-10,9C_277/2020,, general central,, general,,,,,, A B A B
2f92c035-21f3-428d-9b40-41c6b14c5198,1013839,CH_BGer_009_9C-324-2018_2019-05-29,9C_324/2018,,,,,  person  Person,,, Sarasin Rohner,,
2f92c035-21f3-428d-9b40-41c6b14c5198,1013839,CH_BGer_009_9C-324-2018_2019-05-29,9C_324/2018,,,,,  person  Person,,, Sarasin Rohner,,
3f3c6dae-8a51-4c68-a9ee-8de54a6429a4,981301,CH_BGer_002_2C-652-2021_2021-09-03,2C_652/2021,, aa b c, c m,,,,, Pestalozzi Caroline,,
