page_id,file_id,file_name,file_number,legal_xlm_roberta-0b561,legal_swiss_roberta-0b561,bloomz-7b1,legal_xlm_longformer-0b279,swiss_bert-0b110,mt0-13b,xlm_swiss_bert-0b110
188447b0-37ae-42e0-8490-a4974fda6d66,1059802,CH_BGer_011_6B-1440-2020_2020-12-16,6B_1440/2020,, montana,, geneve zurich, Crypto,, Austria Zürich haus
188447b0-37ae-42e0-8490-a4974fda6d66,1059802,CH_BGer_011_6B-1440-2020_2020-12-16,6B_1440/2020,, montana,, geneve zurich,,, Austria Zürich haus
188447b0-37ae-42e0-8490-a4974fda6d66,1059802,CH_BGer_011_6B-1440-2020_2020-12-16,6B_1440/2020,, montana,, geneve zurich, Crypto,,
2938d832-1d35-40e9-a9eb-3cae2e6aaab0,1056573,CH_BGer_004_4A-29-2020_2020-08-27,4A_29/2020,, zurich,,, Halter Marazzi,, Mutter
188447b0-37ae-42e0-8490-a4974fda6d66,1059802,CH_BGer_011_6B-1440-2020_2020-12-16,6B_1440/2020,, montana,, geneve zurich,,,
51e6dcb4-3098-4d3c-bd84-df3a36bbe04e,1111153,CH_BGer_009_9C-307-2020_2020-08-10,9C_307/2020, gmbh, schweiz,  Wut, gmbh suisse,,,
2938d832-1d35-40e9-a9eb-3cae2e6aaab0,1056573,CH_BGer_004_4A-29-2020_2020-08-27,4A_29/2020,, zurich,,, Halter Marazzi,,
690465a0-347b-40ab-884e-482c31ea6adf,965103,CH_BGer_004_4A-481-2020_2021-06-10,4A_481/2020,, aaa,,, Maillard Gaillard Berset Levrat,,
2938d832-1d35-40e9-a9eb-3cae2e6aaab0,1056573,CH_BGer_004_4A-29-2020_2020-08-27,4A_29/2020,, zurich,,,,, Mutter
912dcea3-89d7-41ee-a118-52699ef2433b,1078364,CH_BGer_005_5A-791-2019_2019-10-08,5A_791/2019,,,,, Marazzi,, Ford Volkswagen Porsche
705babd1-3b1f-4cfc-b46e-18fbc82396ed,1103701,CH_BGer_002_2C-1071-2018_2019-11-12,2C_1071/2018,,,  person  Person,,,, Audi Volkswagen
146b950b-1e94-4142-a5ec-39b0b8693450,1097955,CH_BGer_009_9C-277-2020_2020-08-10,9C_277/2020, general central, general,,,,, A B A B
146b950b-1e94-4142-a5ec-39b0b8693450,1097955,CH_BGer_009_9C-277-2020_2020-08-10,9C_277/2020, general central, general,,,,, A B A B
2f92c035-21f3-428d-9b40-41c6b14c5198,1013839,CH_BGer_009_9C-324-2018_2019-05-29,9C_324/2018,,,  person  Person,, Sarasin Rohner,,
2f92c035-21f3-428d-9b40-41c6b14c5198,1013839,CH_BGer_009_9C-324-2018_2019-05-29,9C_324/2018,,,  person  Person,, Sarasin Rohner,,
3f3c6dae-8a51-4c68-a9ee-8de54a6429a4,981301,CH_BGer_002_2C-652-2021_2021-09-03,2C_652/2021, aa b c,,,, Pestalozzi Caroline,,
690f2670-36f3-480c-8645-f70e981e1437,963346,CH_BGer_002_2C-277-2021_2021-04-14,2C_277/2021,,,,,,, Müller Schneider Meyer Fischer
3f3c6dae-8a51-4c68-a9ee-8de54a6429a4,981301,CH_BGer_002_2C-652-2021_2021-09-03,2C_652/2021, aa b c,,,, Pestalozzi Caroline,,
1880c03d-cf9e-47f8-bd2f-6de2918c990c,1112009,CH_BGer_011_6B-1202-2018_2019-01-11,6B_1202/2018,,,,, Vontobel Sarasin Leu Bär,, Frau
616fa2f8-5836-49e3-a565-fed58d25d63b,1069833,CH_BGer_004_4A-59-2021_2022-01-25,4A_59/2021, aa,,  person  Person,,,, Immobilien
8d73b4ad-8760-457e-afa0-39bb8f05fc49,982692,CH_BGer_005_5A-639-2020_2021-03-29,5A_639/2020,,,  person  Person,,,, Frau
87c7dc34-766b-455d-b11f-72e1498268c0,991060,CH_BGer_004_4A-228-2019_2019-09-02,4A_228/2019, allianz, helvetia allianz,, axa,,,
83b821a2-1f4f-4f2a-ad64-87d2340b928a,1071391,CH_BGer_005_5A-1041-2017_2019-02-04,5A_1041/2017,, suisse melli,  person  Person,,,,
49b0a956-3291-444b-a59f-96c5993b95b2,1102338,CH_BGer_002_2C-29-2022_2022-05-06,2C_29/2022,, a b,  person  Person,,,,
4a093afc-0041-4ebf-ba2d-98fcf1bca21a,1092268,CH_BGer_001_1B-138-2021_2021-04-09,1B_138/2021,,,  person  Person,,,, Mutter Frau
49b0a956-3291-444b-a59f-96c5993b95b2,1102338,CH_BGer_002_2C-29-2022_2022-05-06,2C_29/2022,, a b,  person  Person,,,,
4a093afc-0041-4ebf-ba2d-98fcf1bca21a,1092268,CH_BGer_001_1B-138-2021_2021-04-09,1B_138/2021,,,  person  Person,,,, Mutter Frau
49b0a956-3291-444b-a59f-96c5993b95b2,1102338,CH_BGer_002_2C-29-2022_2022-05-06,2C_29/2022,, a b,  person  Person,,,,
15577aa7-ba4d-40a4-9f4c-2475045769d0,977965,CH_BGer_009_9C-470-2020_2020-09-17,9C_470/2020,,,,, a A,, Restaurants Gastro Koch
49b0a956-3291-444b-a59f-96c5993b95b2,1102338,CH_BGer_002_2C-29-2022_2022-05-06,2C_29/2022,, a b,  person  Person,,,,
33074a46-1ea9-463c-82f2-5ed219806c0d,1022759,CH_BGer_004_4A-287-2020_2021-03-24,4A_287/2020,,,  person  Person,,,,
8b89ae97-a6d0-4647-b823-78e821d047d9,1028205,CH_BGer_008_8C-424-2018_2019-01-23,8C_424/2018,,,  person  Person,,,, Immobilien
33074a46-1ea9-463c-82f2-5ed219806c0d,1022759,CH_BGer_004_4A-287-2020_2021-03-24,4A_287/2020,,,  person  Person,,,,
2938d832-1d35-40e9-a9eb-3cae2e6aaab0,1056573,CH_BGer_004_4A-29-2020_2020-08-27,4A_29/2020,, zurich,,,,,
33074a46-1ea9-463c-82f2-5ed219806c0d,1022759,CH_BGer_004_4A-287-2020_2021-03-24,4A_287/2020,,,  person  Person,,,,
33074a46-1ea9-463c-82f2-5ed219806c0d,1022759,CH_BGer_004_4A-287-2020_2021-03-24,4A_287/2020,,,  person  Person,,,,
6697fd7a-8593-49d0-9fa2-93514ad44288,1083691,CH_BGer_006_6B-1106-2018_2019-06-24,6B_1106/2018,,,,, Bachmann,, Kiss Richter
300d0669-b786-4e10-8c30-7cfb44de38bd,1013394,CH_BGer_005_5D-73-2019_2019-04-01,5D_73/2019, aa,,,,,, Bern Zürich Schweiz
300d0669-b786-4e10-8c30-7cfb44de38bd,1013394,CH_BGer_005_5D-73-2019_2019-04-01,5D_73/2019, aa,,,,,, Bern Zürich Schweiz
6cc0dd69-855a-457b-80e1-8f1ba5a515e3,1011263,CH_BGer_001_1C-375-2019_2021-03-26,1C_375/2019,, vcs grune,  person  Modus,,,,
84ce2e76-f29c-47cf-8bf8-88bbd6cac22c,1091325,CH_BGer_001_1C-646-2018_2019-06-13,1C_646/2018,,,  person  Person,,,,
079d559f-281d-48af-b417-6c22dd92bdcf,1084245,CH_BGer_009_9C-205-2019_2019-04-12,9C_205/2019, aa,,,, Vontobel Coop Sarasin,,
079d559f-281d-48af-b417-6c22dd92bdcf,1084245,CH_BGer_009_9C-205-2019_2019-04-12,9C_205/2019, aa,,,, Vontobel Coop Sarasin,,
59443f55-5c19-48f3-88e7-e7c9337d6776,1020909,CH_BGer_009_9C-123-2019_2019-06-13,9C_123/2019, lpp avs, helvetia lpp,,,,,
75d0358a-a755-4199-ab33-0c58c728fec0,1013834,CH_BGer_002_2C-559-2020_2021-06-09,2C_559/2020,,,,, Halter Locher Immobilien,,
1880c03d-cf9e-47f8-bd2f-6de2918c990c,1112009,CH_BGer_011_6B-1202-2018_2019-01-11,6B_1202/2018,,,,, Vontobel Sarasin Leu Bär,,
079d559f-281d-48af-b417-6c22dd92bdcf,1084245,CH_BGer_009_9C-205-2019_2019-04-12,9C_205/2019, aa,,,, Vontobel Coop Sarasin,,
243eb40e-5429-4b50-89df-1cfe7cf6b716,1069993,CH_BGer_006_6B-6-2019_2019-02-22,6B_6/2019, peugeot, peugeot,  Greffe,,,,
0fbc43d2-8017-4c2e-8cd6-07c4a0e26f82,1101970,CH_BGer_005_5A-95-2019_2019-09-18,5A_95/2019,,,  person  Paul,, J A,,
1d026ad4-2747-4db3-8de0-367ab7094674,1067038,CH_BGer_008_8C-735-2020_2021-01-26,8C_735/2020,,,,, Vontobel Valiant Pictet,,
243eb40e-5429-4b50-89df-1cfe7cf6b716,1069993,CH_BGer_006_6B-6-2019_2019-02-22,6B_6/2019, peugeot, peugeot,  Greffe,,,,
