page_id,file_id,file_name,file_number,swiss_bert-0b110,legal_swiss_roberta-0b561,legal_swiss_longformer-0b279,legal_xlm_longformer-0b279,xlm_swiss_bert-0b110,legal_xlm_roberta-0b561,mt0-13b
7a5c0936-e64f-4617-a63d-e138cd7fc52d,1056545,CH_BGer_005_5D-104-2019_2019-05-21,5D_104/2019,,,,, Schweiz Basel Zürich IV Deutschland,,
87c7dc34-766b-455d-b11f-72e1498268c0,991060,CH_BGer_004_4A-228-2019_2019-09-02,4A_228/2019,, helvetia allianz, axa, axa,, allianz,
7950683d-c91f-473a-ba4e-8b0d06c83988,960319,CH_BGer_011_6B-1316-2018_2019-01-15,6B_1316/2018, Coop Vontobel,,,, Holding Immobilien,,
932b93b6-40a3-44b2-9738-f81c0380a01e,1066694,CH_BGer_005_5A-937-2019_2019-11-25,5A_937/2019,,, b c,, Ford Volkswagen Porsche,,
2634bf2e-ef66-44ee-a565-f318a6dc66a3,1075635,CH_BGer_001_1C-103-2019_2019-03-28,1C_103/2019,, b c, b c y b,,, e c e c, Romania
5616b968-1755-45f4-ad22-9eadab21eba5,1064740,CH_BGer_002_2C-524-2018_2019-05-08,2C_524/2018,, volkswagen audi,,,, volkswagen,
588f3033-3a4f-45e8-8ca7-3aaa9c544a23,1036874,CH_BGer_009_9C-125-2019_2019-06-11,9C_125/2019, Vontobel Sarasin Leu Coop,,,,,,
1b65e55b-b74e-46a6-924b-dce67acb825d,1035091,CH_BGer_006_6B-1185-2018_2019-01-14,6B_1185/2018,,, geneve lausanne, geneve,,,
63d12f5f-9b39-42c0-8777-c8193fdbd6f8,1042369,CH_BGer_011_6B-694-2019_2019-07-11,6B_694/2019,,, lausanne bulle, geneve,,,
74c3b921-6713-4d15-9ba5-3a88ea8513f0,1110970,CH_BGer_006_6B-1203-2019_2019-11-29,6B_1203/2019, Volkswagen VW Porsche,,,,,,
4a2d3a0e-0739-46fb-b42e-92d0604284bc,1071153,CH_BGer_006_6B-744-2019_2019-11-05,6B_744/2019,,,,, Müller Schneider J A,,
59443f55-5c19-48f3-88e7-e7c9337d6776,1020909,CH_BGer_009_9C-123-2019_2019-06-13,9C_123/2019,, helvetia lpp,,,, lpp avs,
41d18906-9c9e-4877-b6d0-375dd6c70f38,1113715,CH_BGer_005_5A-390-2019_2019-05-15,5A_390/2019, Crypto Roche Bossard,,,,,,
83b821a2-1f4f-4f2a-ad64-87d2340b928a,1071391,CH_BGer_005_5A-1041-2017_2019-02-04,5A_1041/2017,, suisse melli,,, Banken,,
370cdfe8-2070-4bbf-bcc5-12b61ced2948,998142,CH_BGer_005_5A-871-2019_2019-11-05,5A_871/2019, Leu Sarasin Coop,,,,,,
7b93d3ab-1144-48f5-a924-ac009116bd59,954584,CH_BGer_008_8C-876-2018_2019-01-15,8C_876/2018,,, gmbh, sa,, gmbh sa,
8d24571f-421a-467c-8deb-bf827afea966,1061142,CH_BGer_005_5A-1007-2018_2019-06-26,5A_1007/2018,, b c,, b c,, b c e c,
67f9ff03-c781-400f-8d8a-0003a697e8be,989357,CH_BGer_004_4D-66-2018_2019-01-10,4D_66/2018, Halter Helvetia,,,,,,
00d94e0d-da97-4062-b85f-6cce838e70a1,957026,CH_BGer_002_2C-615-2018_2019-03-26,2C_615/2018, Valora,,,, Bar Bier,,
243eb40e-5429-4b50-89df-1cfe7cf6b716,1069993,CH_BGer_006_6B-6-2019_2019-02-22,6B_6/2019,, peugeot,,,, peugeot,
231a5232-93f5-458e-b19a-1ebfc035f999,1094544,CH_BGer_002_2C-584-2019_2019-10-30,2C_584/2019, Vontobel,,,, Basel,,
22168fad-04d7-4057-822e-4d5ab919e004,1009925,CH_BGer_002_2C-896-2018_2019-08-29,2C_896/2018, Post,,,, Post Bank,,
2f68a2b1-b9b6-4238-b027-1b985a641f6c,986968,CH_BGer_002_2C-990-2018_2019-09-27,2C_990/2018, Sarasin Rohner,,,,,,
5c0de1e1-dac2-4386-989c-82ae2962a272,1091798,CH_BGer_009_9C-313-2019_2019-06-04,9C_313/2019,,,,, Stahl Steel, ag,
876eab92-f7c8-4fd8-8404-b6be9eff6988,1046533,CH_BGer_008_8C-41-2019_2019-05-09,8C_41/2019,,,,, Mutter Frau, aa,
4feee5ac-c078-45a9-82bd-9a6128c45b0a,987281,CH_BGer_006_6B-434-2019_2019-07-05,6B_434/2019,, la a la a, la a,,,,
5ed16733-b9bd-4983-96aa-6e497ef3ff17,1023084,CH_BGer_002_2C-342-2019_2019-10-11,2C_342/2019, Halter,,,, A a A a,,
310a8197-5793-42f7-ada8-e9c6d149dd00,1054801,CH_BGer_011_6B-1228-2019_2019-12-10,6B_1228/2019,,,,, CS Roche Bank,,
5180df86-6b64-4deb-9e40-1af03577b229,980301,CH_BGer_004_4A-302-2018_2019-01-17,4A_302/2018,, suisse,,,, zurich,
79dc3d62-edea-4769-945a-9b4dee6df3f8,1061397,CH_BGer_004_4A-339-2019_2019-08-27,4A_339/2019,,,,, Firma AG Frau,,
2cb004aa-fc11-420a-9b9b-13eb2285431f,1014266,CH_BGer_005_5A-411-2019_2019-05-21,5A_411/2019,, mutter,,,, mutter,
37267070-47cb-43fd-9d66-ee40fa51f351,1087506,CH_BGer_009_9C-812-2019_2019-12-17,9C_812/2019,,,,, Meyer Müller,,
642cdf72-54c2-4f5f-bd04-e669095741ba,1096036,CH_BGer_001_1B-77-2019_2019-04-24,1B_77/2019, Meier Müller,,,,,,
0ce1b864-cae8-4db9-bac3-00dbfe3eb8b3,1114339,CH_BGer_008_8C-532-2019_2019-09-17,8C_532/2019,,,,, Roche Bauer,,
2979e9dc-212a-4ba9-bad4-60e36c6a5033,1007934,CH_BGer_009_9C-786-2018_2019-05-13,9C_786/2018,,,,, Mutter Frau,,
0e40defb-4a96-40b9-9ded-421ac81ad111,954909,CH_BGer_011_6B-700-2019_2019-07-08,6B_700/2019,, lui,, lui,, lui,
3325eeeb-af46-4447-abe0-a847b63c1fcd,955703,CH_BGer_006_6B-21-2019_2019-04-04,6B_21/2019,,,,,,, Switzerland
5b39ee6a-7543-471a-81c6-1e617275e133,1061562,CH_BGer_006_6B-277-2019_2019-07-05,6B_277/2019,,,,, Steuer Bank,,
0f684989-22ad-49fd-a07f-60f468976165,1095761,CH_BGer_002_2D-60-2019_2019-11-06,2D_60/2019, Bühler,,, y b,,,
32b4baf9-c8d6-4dc0-a13c-39e4b1cdc267,1004989,CH_BGer_001_1B-208-2019_2019-05-29,1B_208/2019, Volkswagen,,,,,,
4e128a1b-a1ce-4118-99f9-685cb2e8d262,1001874,CH_BGer_005_5D-10-2019_2019-02-01,5D_10/2019,,,,,  Sport Zug,,
7142bf43-6920-41d9-9eb5-d5aae5496497,1091781,CH_BGer_001_1B-176-2019_2019-09-17,1B_176/2019,,,,, Volkswagen,,
177e663b-3569-4dc5-8ba4-bbf00c76f6fc,1012015,CH_BGer_006_6B-908-2018_2019-10-07,6B_908/2018,,,,, Bank Swiss,,
30ed2825-085c-4bfa-9ac9-7c91a70a7872,1039066,CH_BGer_005_5A-951-2018_2019-02-06,5A_951/2018, Immobilien,,,,,,
8fbe1374-37d3-4cca-8148-e0ea60fa3436,991617,CH_BGer_002_2D-53-2019_2019-11-01,2D_53/2019,, ax,,,, aa aaa,
0368fb39-19cd-4d1e-b871-75e263c4e42c,983435,CH_BGer_006_6B-1279-2018_2019-03-26,6B_1279/2018,, aa,, y b,, aa,
8433bdea-a46a-4387-80c0-2f61d3f06091,1019621,CH_BGer_001_1C-427-2018_2019-10-22,1C_427/2018,, helvetia,,,,,
5aca78c6-b445-448d-a10f-b64c80b1c8f9,961552,CH_BGer_001_1C-112-2019_2019-12-03,1C_112/2019,,,,,,, Commerce
753555a1-f3d5-4518-8f59-dcba5c0666ba,1019494,CH_BGer_001_1B-453-2018_2019-02-06,1B_453/2018,,, b c,,,, BANK
282f0298-68c5-4c9a-af06-7ffdd774fee9,1040470,CH_BGer_002_2C-902-2017_2019-02-06,2C_902/2017,, helvetia,,,,,
